ID,Name,Age,Gender,Department,Salary,Joining Date,Performance Score,Experience,Status,Location,Session
1,Cory Escobar,48,Female,HR,5641,2015-05-03,2.0,16,Active,New York,Night
2,Timothy Sanchez,25,Other,Sales,4249,2020-11-09,2.0,11,Inactive,Los Angeles,Evening
3,Chad Nichols,57,Other,Sales,3058,2019-02-12,,1,Inactive,New York,Morning
4,Christine Williams,58,Female,IT,5895,2017-09-08,2.0,13,Inactive,Los Angeles,Evening
5,Amber Harris,35,Other,IT,4317,2020-02-15,5.0,16,Inactive,New York,Evening
6,Ashley Howe,29,Female,HR,2591,2016-06-24,1.0,6,Active,Chicago,Evening
7,David Olson,39,Female,Sales,6826,2023-05-11,,4,Active,New York,Night
8,Amanda Baker,52,Other,HR,6285,2015-04-01,,8,Inactive,Chicago,Evening
9,Jeremy Wright,63,Female,Sales,9862,2024-02-07,,3,Inactive,New York,Night
10,Brian Faulkner,30,Male,IT,8202,2018-05-26,1.0,9,Active,Los Angeles,Morning
11,Nicole Bell,42,Female,Sales,5336,2015-01-28,3.0,7,Active,Los Angeles,Evening
12,Rodney Richardson,60,Other,HR,6908,2015-03-14,4.0,19,Active,Chicago,Night
13,Joshua Robinson,61,Male,IT,5688,2020-06-21,,4,Inactive,Chicago,Night
14,Benjamin Callahan,34,Male,IT,5593,2019-06-23,,2,Inactive,Los Angeles,Night
15,Matthew Collins MD,31,Female,Sales,8568,2020-06-01,,20,Inactive,Los Angeles,Evening
16,Gary Cooley,62,Male,HR,5386,2017-07-25,,2,Inactive,Chicago,Morning
17,Jonathan Perez,59,Male,HR,6586,2019-02-19,3.0,7,Inactive,Los Angeles,Evening
18,Jacqueline Randall,31,Female,HR,3519,2018-05-18,4.0,6,Active,New York,Morning
19,Nancy Stephens,38,Male,HR,9061,2017-07-16,5.0,16,Inactive,Chicago,Night
20,Victoria Fox,57,Female,HR,7251,2023-06-07,,10,Active,Los Angeles,Evening
21,Heather Jones,35,Male,Sales,4565,2018-02-07,,9,Active,Chicago,Night
22,Stacie Porter,61,Female,HR,4071,2020-05-04,2.0,9,Inactive,Chicago,Night
23,Bryce Carter,35,Female,Sales,9598,2015-12-16,4.0,4,Inactive,New York,Night
24,Marissa Stewart,31,Female,HR,5386,2021-01-30,,3,Active,Los Angeles,Evening
25,Tracy Carlson,21,Male,HR,9275,2022-04-09,4.0,12,Active,New York,Morning
26,Tara Blackwell,30,Other,HR,6120,2020-02-20,5.0,7,Active,New York,Evening
27,Austin Long,20,Female,IT,4899,2024-05-01,5.0,8,Inactive,Chicago,Night
28,Jordan Warren,55,Female,HR,4608,2018-07-07,,18,Inactive,Los Angeles,Morning
29,Vickie Campbell,65,Female,IT,9190,2019-10-28,,12,Inactive,Chicago,Morning
30,Rachel Ramsey,22,Male,Sales,9661,2016-08-18,2.0,17,Inactive,Chicago,Night
31,Brandi Smith,21,Other,IT,4780,2020-01-20,1.0,7,Inactive,New York,Night
32,Jacqueline Becker,63,Other,Sales,4270,2021-12-16,,20,Inactive,Los Angeles,Morning
33,Trevor Duncan,65,Other,Sales,6547,2024-06-10,,10,Active,Chicago,Evening
34,Mr. Brian Nelson,42,Female,IT,5207,2017-08-17,1.0,4,Active,Los Angeles,Night
35,Lisa Fry,51,Female,IT,9259,2017-09-26,4.0,17,Inactive,Los Angeles,Night
36,Kevin Watts,35,Male,IT,9078,2019-06-12,1.0,7,Inactive,Los Angeles,Evening
37,Jacqueline Moore,39,Male,Sales,2364,2018-02-25,1.0,15,Active,Los Angeles,Evening
38,Lawrence Rose,18,Female,HR,2904,2021-04-11,1.0,17,Inactive,Chicago,Night
39,Jordan Scott,33,Other,Sales,8678,2016-05-15,5.0,9,Active,Los Angeles,Evening
40,Lisa Wagner,36,Male,HR,8870,2024-08-12,4.0,17,Active,Los Angeles,Evening
41,Ricky Keith,20,Female,Sales,6621,2024-01-29,,20,Inactive,Los Angeles,Evening
42,Charles Mccall,58,Other,IT,9512,2024-11-10,,8,Inactive,Los Angeles,Morning
